C: [1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50]
B: [1	2	3	4	5] 

a: [400	500	450	400	500] 
e: [410	505	600	420	510] 
d: [7	30	16	9	21	15	19	23	11	5	19	29	23	21	10	15	3	41	9	28	8	8	16	10	28	7	15	14	6	19	11	12	23	26	17	6	9	15	14	7	27	13	11	16	10	5	25	17	18	10] 
f: [27	28	42	39	6
    39	35	50	32	7
    45	47	61	47	14
    25	4	15	35	35
    36	20	35	19	23
    11	17	27	45	23
    16	33	40	59	28
    25	34	45	51	15
    45	32	48	16	22
    50	32	46	5	33
    33	25	40	27	12
    27	11	27	27	24
    25	16	0	50	47
    7	14	18	49	33
    42	21	32	18	38
    43	34	50	24	15
    31	10	22	28	34
    17	4	14	40	33
    36	18	14	41	50
    48	46	62	41	15
    52	44	59	26	22
    33	35	49	42	4
    10	27	34	55	27
    4	25	27	58	35
    11	15	13	51	39
    25	39	48	58	22
    20	21	34	39	14
    38	44	57	51	14
    48	42	58	31	16
    53	38	53	11	30
    34	43	54	55	17
    28	24	39	33	9
    53	33	44	11	43
    53	41	57	17	27
    54	53	69	47	21
    57	58	73	53	26
    35	14	27	23	33
    38	25	41	20	18
    60	42	55	5	41
    43	28	19	50	60
    32	16	9	44	49
    41	20	22	34	48
    16	37	39	68	40
    39	18	27	24	40
    49	28	37	17	43
    24	15	30	31	18
    23	5	21	33	28
    16	25	36	48	18
    43	28	43	13	25
    48	37	52	20	21]
